Date Time Served,Bar Name,Alcohol Type,Brand Name,Opening Balance (ml),Purchase (ml),Consumed (ml),Closing Balance (ml),Date,Month,Year,DayOfWeek,Weekend,Bar Name_TE,Alcohol Type_TE,Brand Name_TE,Item_ID,lag_1,lag_2,rolling_3,rolling_7,std_7
2023-01-27 13:45:00,Thomas's Bar,Wine,Yellow Tail,1250.0,0.0,341.93,912.6,27,1,2023,4,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,116.13,210.58,194.53,292.0028571428571,157.79278117352578
2023-02-01 14:00:00,Thomas's Bar,Wine,Yellow Tail,912.6,0.0,112.3,800.3,1,2,2023,2,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,341.93,116.13,222.88000000000002,259.79571428571427,107.07506648097291
2023-02-04 19:27:00,Thomas's Bar,Wine,Yellow Tail,800.3,0.0,635.87,164.43,4,2,2023,5,1,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,112.3,341.93,190.12,213.96571428571428,87.37356672303565
2023-02-13 15:18:00,Thomas's Bar,Wine,Yellow Tail,164.43,0.0,164.43,0.0,13,2,2023,0,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,635.87,112.3,363.3666666666666,263.4057142857143,183.00662545903842
2023-02-15 16:51:00,Thomas's Bar,Wine,Yellow Tail,0.0,0.0,0.0,0.0,15,2,2023,2,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,164.43,635.87,304.20000000000005,262.5885714285714,183.50451378904114
2023-02-22 10:07:00,Thomas's Bar,Wine,Yellow Tail,0.0,0.0,0.0,0.0,22,2,2023,2,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,0.0,164.43,266.7666666666667,225.89142857142855,208.78092484935587
2023-03-06 12:30:00,Thomas's Bar,Wine,Yellow Tail,0.0,0.0,0.0,0.0,6,3,2023,0,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,0.0,0.0,54.81000000000004,195.8085714285714,225.82976519409272
2023-03-07 18:47:00,Thomas's Bar,Wine,Yellow Tail,0.0,0.0,0.0,0.0,7,3,2023,1,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,0.0,0.0,0.0,179.21857142857144,236.66439750756564
2023-03-08 14:56:00,Thomas's Bar,Wine,Yellow Tail,0.0,0.0,0.0,0.0,8,3,2023,2,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,0.0,0.0,0.0,130.37142857142857,232.73812396687188
2023-03-12 14:17:00,Thomas's Bar,Wine,Yellow Tail,0.0,0.0,0.0,0.0,12,3,2023,6,1,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,0.0,0.0,0.0,114.32857142857142,238.00235506037686
2023-03-16 19:41:00,Thomas's Bar,Wine,Yellow Tail,0.0,0.0,0.0,0.0,16,3,2023,3,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,0.0,0.0,0.0,23.490000000000002,62.148698296906794
2023-03-26 20:12:00,Thomas's Bar,Wine,Yellow Tail,0.0,0.0,0.0,0.0,26,3,2023,6,1,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,0.0,0.0,0.0,0.0,0.0
2023-04-03 17:57:00,Thomas's Bar,Wine,Yellow Tail,0.0,930.17,331.52,598.65,3,4,2023,0,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,0.0,0.0,0.0,0.0,0.0
2023-04-07 14:38:00,Thomas's Bar,Wine,Yellow Tail,598.65,811.95,119.78,1290.82,7,4,2023,4,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,331.52,0.0,110.5066666666667,47.36,125.3027820920188
2023-04-10 21:31:00,Thomas's Bar,Wine,Yellow Tail,1290.82,0.0,218.75,1072.07,10,4,2023,0,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,119.78,331.52,150.43333333333337,64.47142857142856,125.93437648613795
2023-04-17 16:21:00,Thomas's Bar,Wine,Yellow Tail,1072.07,0.0,173.27,898.8,17,4,2023,0,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,218.75,119.78,223.35000000000002,95.72142857142856,134.1430691995888
2023-04-19 22:44:00,Thomas's Bar,Wine,Yellow Tail,898.8,0.0,121.27,777.53,19,4,2023,2,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,173.27,218.75,170.60000000000005,120.4742857142857,129.44010170179638
2023-04-21 19:28:00,Thomas's Bar,Wine,Yellow Tail,777.53,0.0,428.69,348.84,21,4,2023,4,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,121.27,173.27,171.0966666666667,137.79857142857142,118.26108340286339
2023-04-23 11:11:00,Thomas's Bar,Wine,Yellow Tail,348.84,0.0,109.07,239.77,23,4,2023,6,1,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,428.69,121.27,241.07666666666668,199.04,143.34683579812045
2023-04-24 20:36:00,Thomas's Bar,Wine,Yellow Tail,239.77,0.0,239.77,0.0,24,4,2023,0,0,289.2061217075386,288.2995896656535,271.0723382045929,289.2061217075386_288.2995896656535_271.0723382045929,109.07,428.69,219.6766666666667,214.62142857142857,122.52081788123067
